"Power_WDM","EDFA1","EDFA2","EDFA3","Total_Gain","Total_Power","Min_BER","Max_Q_Factor"
6,20,25,25,-26.03525849,-41.11955829,0.000831488,4.508194705
6,20,29,29,-24.526697,-36.71236547,0.00010703,3.574236574
6,20,33,33,-25.00041006,-38.41742841,0.000341837,3.392077429
6,21,20,21,-29.45527534,-47.9248402,0.000663341,4.483611049
6,21,21,20,-30.34676161,-49.74503637,0.00116671,4.504121606
6,21,21,21,-29.40826003,-47.87608454,0.000422196,4.468192816
6,22,22,22,-28.50616812,-46.08662396,3.21316E-05,4.369918322
6,22,22,25,-26.00929022,-41.07355398,0.161492611,4.182749514
6,22,25,22,-28.54138279,-46.08673387,0.067013988,4.14257966
6,23,23,23,-27.74285161,-44.49395092,0.052388847,4.097274609
6,23,23,30,-24.40895219,-36.31533211,0.001301895,2.790453782
6,23,30,23,-28.91467728,-45.53663444,1.25542E-05,5.341903102
6,24,24,24,-27.07021064,-42.97590459,1.13866E-05,4.351169458
6,24,24,35,-23.07092909,-35.17020408,0.00964345,2.321239798
6,24,35,24,-30.85029018,-48.14905904,0.00022662,3.433682121
6,25,20,25,-26.31366966,-41.50027047,0.026406362,4.092167738
6,25,22,22,-28.76295311,-46.3426729,4.36065E-05,4.365222861
6,25,25,20,-30.58537447,-49.83492542,0.01199593,4.055978807
6,25,25,25,-26.63504218,-41.73003268,0.000100317,4.939870525
6,25,26,26,-26.19022066,-40.51748986,4.90589E-05,5.376533411
6,25,30,30,-25.79567629,-38.46021196,0.002099535,2.71669044
6,25,34,34,-24.13942738,-36.8717429,1,0
6,26,25,26,-26.36245119,-40.72908031,0.000696137,4.975456711
6,26,26,25,-27.07970335,-42.22170809,1.17176E-08,5.182843265
6,26,26,26,-26.5239774,-40.89448344,6.6158E-08,5.2122666
6,27,27,27,-26.65082226,-40.32974328,1.70303E-05,4.81029603
6,27,27,30,-25.20456121,-37.11839118,0.001207028,2.999548153
6,27,30,27,-27.23989368,-41.37178066,0.000213713,3.383631971
6,28,28,28,-26.54389004,-39.90843851,1.46336E-05,3.539027168
6,28,28,35,-23.9116208,-35.93256763,0.005573337,2.533698996
6,28,35,28,-28.3868899,-43.18151813,1,0
6,29,20,29,-26.39599139,-39.87729932,0.000325378,3.406571374
6,29,29,20,-32.9773798,-52.55243271,0.002322073,2.813284397
6,29,29,29,-26.28779314,-39.91748309,0.005444861,2.344428456
6,30,23,23,-29.84729177,-46.79230481,0.000771156,3.048913034
6,30,25,30,-26.23392981,-39.44554052,1,0
6,30,27,27,-27.84347491,-42.58788146,1,0
6,30,30,25,-29.6781004,-46.37674771,0.000672677,3.093377067
6,30,30,30,-26.3247058,-40.12390861,0.001723621,2.901913248
6,30,31,31,-25.6756535,-39.04477705,0.005452602,2.541679291
6,30,35,35,-24.86900485,-35.25570179,0.000581822,3.235869546
6,31,30,31,-25.50429622,-38.68213484,0.002555805,2.79806556
6,31,31,30,-26.25510304,-39.95059422,0.005651851,2.513588398
6,31,31,31,-25.5442074,-38.55863695,0.00498005,2.574400621
6,32,20,32,-26.70620613,-38.35222159,0.011384547,2.101294956
6,32,32,32,-25.89882538,-37.65743051,1,0
6,32,32,35,-24.36453273,-34.36045712,1,0
6,33,20,33,-24.96808639,-37.49843547,0.006346856,2.469002571
6,33,33,20,-34.3844774,-55.44246634,0.01415046,2.189271059
6,33,33,33,-26.08291334,-36.57465157,1,0
6,34,25,34,-24.28216961,-37.0808352,1,0
6,34,34,25,-31.39757829,-48.16693932,1,0
6,34,34,34,-25.74444554,-36.54313695,0.000238637,3.49174496
6,35,24,24,-31.24472859,-49.83756661,1,0
6,35,28,28,-28.44960773,-44.6588704,1,0
6,35,30,35,-24.49449804,-36.04421594,1,0
6,35,32,32,-25.66527683,-39.20860961,1,0
6,35,35,30,-28.06694261,-41.0455381,0.001459281,2.896514137
6,35,35,35,-24.69336216,-36.49055462,1,0
8,20,20,20,-32.27308824,-49.48956075,1.07506E-05,4.867668868
8,20,21,21,-31.30541702,-47.60377859,0.049172371,4.629308102
8,20,25,25,-28.14415841,-41.0127681,1.27618E-05,4.890061094
8,20,29,29,-26.9416331,-37.31445028,0.001501374,2.760757337
8,20,33,33,-26.61197973,-37.73167804,1,0
8,21,20,21,-31.40278561,-47.67666865,0.323110439,4.692604692
8,21,21,20,-32.30243762,-49.48304694,1.27611E-07,4.737429024
8,21,21,21,-31.37990876,-47.6360848,0.030695777,4.61061985
8,22,22,22,-30.49737691,-45.85132732,0.000534003,4.460546833
8,22,22,25,-28.1017273,-40.97197552,6.45175E-05,4.413777073
8,22,25,22,-30.61424,-45.89968825,2.97717E-05,4.386189801
8,23,23,23,-29.80339458,-44.29378347,0.451697562,4.223848078
8,23,23,30,-26.77148658,-36.67243917,0.001003769,3.06368207
8,23,30,23,-31.51503537,-45.91402273,2.90483E-07,4.698361719
8,24,24,24,-29.23170209,-42.94342435,0.163284221,4.681202828
8,24,24,35,-25.01881641,-34.61311044,0.019122866,2.050326998
8,24,35,24,-32.96083448,-48.23568681,0.000535638,3.267272554
8,25,20,25,-28.51255942,-41.4756021,0.409304729,4.2054033
8,25,22,22,-30.8371135,-46.24774991,0.150297989,4.124182021
8,25,25,20,-32.72961855,-49.84841229,0.244073557,4.182279395
8,25,25,25,-28.9490248,-41.91280326,0.003614792,5.021451771
8,25,26,26,-28.61034548,-40.73699893,3.17358E-07,5.23605794
8,25,30,30,-27.89576302,-39.11315956,0.000325273,3.380656292
8,25,34,34,-26.1330116,-35.63590938,1,0
8,26,25,26,-28.78604915,-41.00225184,0.193798069,4.63780306
8,26,26,25,-29.49126896,-42.45670229,0.001426453,4.974365848
8,26,26,26,-28.96532866,-41.16833296,9.25246E-05,4.883674818
8,27,27,27,-29.00907687,-40.67852546,0.280186429,4.046101101
8,27,27,30,-27.18862182,-37.15048894,0.001402616,2.928643586
8,27,30,27,-29.33598866,-41.94583543,0.001250373,2.989365575
8,28,28,28,-28.60497837,-40.39362747,0.001112862,3.021832753
8,28,28,35,-25.90682399,-35.32540809,0.004606691,2.569496251
8,28,35,28,-30.38941421,-43.08435425,0.003854572,2.654969045
8,29,20,29,-28.58755419,-40.21432572,0.011098035,2.117909782
8,29,29,20,-35.33091555,-53.24553633,0.000638347,3.218754075
8,29,29,29,-28.58760321,-40.23438934,1,0
8,30,23,23,-32.19757787,-47.19745127,0.001874994,2.827572802
